City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,Great Falls,47.5002,-111.3008,35.01,64,90,3.71,US,2021-04-23 20:42:00
280,Alindao,5.0267,21.2088,70.07,96,100,3.22,CF,2021-04-23 20:44:18
281,Jaca,42.569,-0.5499,51.01,74,98,4.54,ES,2021-04-23 20:44:19
282,Richards Bay,-28.783,32.0377,63.82,84,76,9.73,ZA,2021-04-23 20:44:19
283,Hithadhoo,-0.6,73.0833,81.91,74,8,7.45,MV,2021-04-23 20:44:19
284,Qorveh,35.1664,47.8045,56.28,35,80,2.01,IR,2021-04-23 20:41:31
285,Matay,28.419,30.7792,73.0,26,1,15.05,EG,2021-04-23 20:44:20
286,Sokoni,-6.4333,39.55,80.6,83,40,13.8,TZ,2021-04-23 20:44:20
287,Anzio,41.4853,12.6179,57.99,81,97,0.72,IT,2021-04-23 20:44:21
288,Malindi,-3.2175,40.1191,79.95,81,47,10.31,KE,2021-04-23 20:44:22
289,Svetlogorsk,52.6333,29.7333,36.0,83,67,8.19,BY,2021-04-23 20:44:22
290,Birin,26.8865,88.0718,59.49,35,0,5.95,NP,2021-04-23 20:44:22
291,Bengkulu,-3.8004,102.2655,73.83,89,87,3.49,ID,2021-04-23 20:41:14
292,Fairbanks,64.8378,-147.7164,53.6,32,1,9.22,US,2021-04-23 20:40:00
293,Itarema,-2.9248,-39.9167,79.7,79,28,11.79,BR,2021-04-23 20:44:23
